,__run,_params,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
239,240.0,"{'filter_meta': {'synthetic': 0}, 'gram': 2, 'max_doc_depth': None, 'threshold': 0.25, 'vector_params': {'tf_type': 'bm25', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.5641025641025641,0.6271662763466042,0.7431818181818182,0.6246332743623766,78.0,0.5449778818631278,0.7826340326340326,0.5641025641025641,78.0
240,241.0,"{'filter_meta': {'synthetic': 0}, 'gram': 3, 'max_doc_depth': 2, 'threshold': 0.1, 'vector_params': {'tf_type': 'linear', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.44871794871794873,0.37968105423987775,0.34297619047619043,0.49111528822055134,78.0,0.4234138410608998,0.46813186813186813,0.44871794871794873,78.0
241,242.0,"{'filter_meta': {'synthetic': 0}, 'gram': 3, 'max_doc_depth': 2, 'threshold': 0.1, 'vector_params': {'tf_type': 'bm25', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.38461538461538464,0.34774101027970994,0.30438596491228076,0.4720881150244032,78.0,0.3559267529855765,0.391025641025641,0.38461538461538464,78.0
242,243.0,"{'filter_meta': {'synthetic': 0}, 'gram': 3, 'max_doc_depth': 2, 'threshold': 0.15, 'vector_params': {'tf_type': 'linear', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.4230769230769231,0.4290905949250103,0.4230994152046784,0.5039929545225292,78.0,0.42955811494710927,0.5114672364672364,0.4230769230769231,78.0
243,244.0,"{'filter_meta': {'synthetic': 0}, 'gram': 3, 'max_doc_depth': 2, 'threshold': 0.15, 'vector_params': {'tf_type': 'bm25', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.34615384615384615,0.40792705746266117,0.41478696741854637,0.4647555421060391,78.0,0.35503179575577765,0.4774420024420024,0.34615384615384615,78.0
244,245.0,"{'filter_meta': {'synthetic': 0}, 'gram': 3, 'max_doc_depth': 2, 'threshold': 0.2, 'vector_params': {'tf_type': 'linear', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.41025641025641024,0.41177944862155386,0.4501955034213098,0.45571203550672346,78.0,0.42431318681318675,0.5638631977341654,0.41025641025641024,78.0
245,246.0,"{'filter_meta': {'synthetic': 0}, 'gram': 3, 'max_doc_depth': 2, 'threshold': 0.2, 'vector_params': {'tf_type': 'bm25', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.3333333333333333,0.39549664390862216,0.43928112965340177,0.4316611963344895,78.0,0.3303288984323467,0.5062539086929331,0.3333333333333333,78.0
246,247.0,"{'filter_meta': {'synthetic': 0}, 'gram': 3, 'max_doc_depth': 2, 'threshold': 0.25, 'vector_params': {'tf_type': 'linear', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.44871794871794873,0.48151260504201676,0.6460642227905655,0.49598216995776634,78.0,0.438888888888889,0.7498761303109129,0.44871794871794873,78.0
247,248.0,"{'filter_meta': {'synthetic': 0}, 'gram': 3, 'max_doc_depth': 2, 'threshold': 0.25, 'vector_params': {'tf_type': 'bm25', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.358974358974359,0.39674502712477394,0.46404569892473113,0.4216524767801858,78.0,0.267526004234865,0.4515439757375241,0.358974358974359,78.0
248,249.0,"{'filter_meta': {'synthetic': 0}, 'gram': 3, 'max_doc_depth': 3, 'threshold': 0.1, 'vector_params': {'tf_type': 'linear', 'apply_idf': True, 'idf_type': 'smooth', 'apply_dl': True, 'dl_type': 'linear'}}",0.5641025641025641,0.5231898565231898,0.47619047619047605,0.6420495683653579,78.0,0.5227612227612227,0.5235042735042734,0.5641025641025641,78.0
